tensor(2.0553, dtype=torch.float64)
tensor(2.0332, dtype=torch.float64)
tensor(2.2764, dtype=torch.float64)
tensor(2.2319, dtype=torch.float64)
tensor(2.5526, dtype=torch.float64)
tensor(2.4707, dtype=torch.float64)
tensor(2.1975, dtype=torch.float64)
tensor(2.1506, dtype=torch.float64)
tensor(2.3681, dtype=torch.float64)
tensor(2.4734, dtype=torch.float64)
tensor(2.6651, dtype=torch.float64)
tensor(2.4123, dtype=torch.float64)
tensor(2.2115, dtype=torch.float64)
tensor(2.1500, dtype=torch.float64)
tensor(2.3773, dtype=torch.float64)
tensor(2.3508, dtype=torch.float64)
tensor(2.2651, dtype=torch.float64)
tensor(2.1148, dtype=torch.float64)
tensor(2.3810, dtype=torch.float64)
tensor(2.2071, dtype=torch.float64)
tensor(2.2611, dtype=torch.float64)
tensor(2.4301, dtype=torch.float64)
tensor(2.3450, dtype=torch.float64)
tensor(2.2671, dtype=torch.float64)
tensor(2.3407, dtype=torch.float64)
tensor(2.3838, dtype=torch.float64)
tensor(2.5056, dtype=torch.float64)
tensor(2.1465, dtype=torch.float64)
tensor(2.4017, dtype=torch.float64)
tensor(2.3572, dtype=torch.float64)
tensor(2.2573, dtype=torch.float64)
tensor(1.8930, dtype=torch.float64)
tensor(1.9181, dtype=torch.float64)
tensor(2.1556, dtype=torch.float64)
tensor(2.1711, dtype=torch.float64)
tensor(2.2498, dtype=torch.float64)
tensor(2.2637, dtype=torch.float64)
tensor(2.2238, dtype=torch.float64)
tensor(2.2438, dtype=torch.float64)
tensor(2.1104, dtype=torch.float64)
tensor(1.9509, dtype=torch.float64)
tensor(2.2368, dtype=torch.float64)
tensor(2.2208, dtype=torch.float64)
tensor(2.2437, dtype=torch.float64)
tensor(2.2246, dtype=torch.float64)
tensor(2.7194, dtype=torch.float64)
tensor(2.7389, dtype=torch.float64)
tensor(2.5158, dtype=torch.float64)
tensor(2.3666, dtype=torch.float64)
tensor(2.2858, dtype=torch.float64)
tensor(2.3312, dtype=torch.float64)
tensor(2.1391, dtype=torch.float64)
tensor(2.1990, dtype=torch.float64)
tensor(2.0568, dtype=torch.float64)
tensor(2.4147, dtype=torch.float64)
tensor(2.2182, dtype=torch.float64)
tensor(2.4340, dtype=torch.float64)
tensor(2.3367, dtype=torch.float64)
tensor(2.1663, dtype=torch.float64)
tensor(1.8672, dtype=torch.float64)
tensor(2.0324, dtype=torch.float64)
tensor(2.1973, dtype=torch.float64)
tensor(2.1096, dtype=torch.float64)
tensor(2.0507, dtype=torch.float64)
tensor(2.1874, dtype=torch.float64)
tensor(2.3587, dtype=torch.float64)
tensor(2.3263, dtype=torch.float64)
tensor(2.1169, dtype=torch.float64)
tensor(2.0509, dtype=torch.float64)
tensor(2.3003, dtype=torch.float64)
tensor(2.3121, dtype=torch.float64)
tensor(2.3488, dtype=torch.float64)
tensor(2.2929, dtype=torch.float64)
tensor(2.0681, dtype=torch.float64)
tensor(2.1455, dtype=torch.float64)
tensor(2.1925, dtype=torch.float64)
tensor(2.5145, dtype=torch.float64)
tensor(2.3415, dtype=torch.float64)
tensor(2.4697, dtype=torch.float64)
tensor(2.1647, dtype=torch.float64)
tensor(2.1929, dtype=torch.float64)
tensor(1.9857, dtype=torch.float64)
tensor(2.2821, dtype=torch.float64)
tensor(2.2675, dtype=torch.float64)
tensor(2.6666, dtype=torch.float64)
tensor(2.5986, dtype=torch.float64)
tensor(2.4855, dtype=torch.float64)
tensor(2.5653, dtype=torch.float64)
tensor(2.3134, dtype=torch.float64)
tensor(2.4070, dtype=torch.float64)
tensor(2.3388, dtype=torch.float64)
tensor(2.3226, dtype=torch.float64)
tensor(2.4828, dtype=torch.float64)
tensor(2.3691, dtype=torch.float64)
tensor(2.1190, dtype=torch.float64)
tensor(2.2947, dtype=torch.float64)
